"","X.1","X","pop","abs","tempo","conc","experiment","abs_norm","n_base","n_parasitos"
"158",158,158,"C73",0.148,1,150,"EXP3",0.195666666666667,5e+05,5e+05
"159",159,159,"C85",0.664,1,150,"EXP3",0.259733333333333,5e+05,5e+05
"160",160,160,"C89",0.149,1,150,"EXP3",0.194266666666667,5e+05,5e+05
"161",161,161,"REF",0.14,1,150,"EXP3",0.1908,5e+05,5e+05
"162",162,162,"GSH1",0.428,1,150,"EXP3",0.2116,5e+05,5e+05
"163",163,163,"C6",0.149,1,150,"EXP3",0.202533333333333,5e+05,5e+05
"164",164,164,"C7",0.147,1,150,"EXP3",0.187933333333333,5e+05,5e+05
"165",165,165,"C44",0.149,1,150,"EXP3",0.185333333333333,5e+05,5e+05
"166",166,166,"C58",0.154,1,150,"EXP3",0.232266666666667,5e+05,5e+05
"167",167,167,"C67",0.156,1,150,"EXP3",0.194666666666667,5e+05,5e+05
"168",168,168,"C73",0.151,1,150,"EXP3",0.195666666666667,5e+05,5e+05
"169",169,169,"C85",0.407,1,150,"EXP3",0.259733333333333,5e+05,5e+05
"170",170,170,"C89",0.158,1,150,"EXP3",0.194266666666667,5e+05,5e+05
"171",171,171,"REF",0.149,1,150,"EXP3",0.1908,5e+05,5e+05
"172",172,172,"GSH1",0.142,1,150,"EXP3",0.2116,5e+05,5e+05
"173",173,173,"C6",0.149,1,150,"EXP3",0.202533333333333,5e+05,5e+05
"174",174,174,"C7",0.147,1,150,"EXP3",0.187933333333333,5e+05,5e+05
"175",175,175,"C44",0.141,1,150,"EXP3",0.185333333333333,5e+05,5e+05
"176",176,176,"C58",0.279,1,150,"EXP3",0.232266666666667,5e+05,5e+05
"177",177,177,"C67",0.147,1,150,"EXP3",0.194666666666667,5e+05,5e+05
"178",178,178,"C73",0.236,1,150,"EXP3",0.195666666666667,5e+05,5e+05
"179",179,179,"C85",0.23,1,150,"EXP3",0.259733333333333,5e+05,5e+05
"180",180,180,"C89",0.275,1,150,"EXP3",0.194266666666667,5e+05,5e+05
"181",181,181,"REF",0.24,2,0,"EXP1",0.3144,5e+05,381679.389312977
"182",182,182,"GSH1",0.219,2,0,"EXP1",0.276733333333333,5e+05,395687.786075644
"183",183,183,"C6",0.21,2,0,"EXP1",0.282933333333333,5e+05,371112.158341188
"184",184,184,"C7",0.206,2,0,"EXP1",0.281,5e+05,366548.042704626
"185",185,185,"C44",0.211,2,0,"EXP1",0.2962,5e+05,356178.257933828
"186",186,186,"C58",0.2,2,0,"EXP1",0.276266666666667,5e+05,361969.111969112
"187",187,187,"C67",0.21,2,0,"EXP1",0.311266666666667,5e+05,337331.334332834
"188",188,188,"C73",0.215,2,0,"EXP1",0.275066666666667,5e+05,390814.34803684
"189",189,189,"C85",0.209,2,0,"EXP1",0.1872,5e+05,558226.495726496
"190",190,190,"C89",0.225,2,0,"EXP1",0.288933333333333,5e+05,389363.17489617
"191",191,191,"REF",0.26,2,0,"EXP1",0.3144,5e+05,413486.005089058
"192",192,192,"GSH1",0.225,2,0,"EXP1",0.276733333333333,5e+05,406528.547337991
"193",193,193,"C6",0.22,2,0,"EXP1",0.282933333333333,5e+05,388784.165881244
"194",194,194,"C7",0.218,2,0,"EXP1",0.281,5e+05,387900.355871886
"195",195,195,"C44",0.204,2,0,"EXP1",0.2962,5e+05,344361.917623228
"196",196,196,"C58",0.201,2,0,"EXP1",0.276266666666667,5e+05,363778.957528958
"197",197,197,"C67",0.214,2,0,"EXP1",0.311266666666667,5e+05,343756.69308203
"198",198,198,"C73",0.213,2,0,"EXP1",0.275066666666667,5e+05,387178.86572952
"199",199,199,"C85",0.206,2,0,"EXP1",0.1872,5e+05,550213.675213675
"200",200,200,"C89",0.217,2,0,"EXP1",0.288933333333333,5e+05,375519.150899862
"201",201,201,"REF",0.263,2,0,"EXP1",0.3144,5e+05,418256.997455471
"202",202,202,"GSH1",0.226,2,0,"EXP1",0.276733333333333,5e+05,408335.340881715
"203",203,203,"C6",0.236,2,0,"EXP1",0.282933333333333,5e+05,417059.377945335
"204",204,204,"C7",0.216,2,0,"EXP1",0.281,5e+05,384341.637010676
"205",205,205,"C44",0.206,2,0,"EXP1",0.2962,5e+05,347738.014854828
"206",206,206,"C58",0.207,2,0,"EXP1",0.276266666666667,5e+05,374638.030888031
"207",207,207,"C67",0.232,2,0,"EXP1",0.311266666666667,5e+05,372670.807453416
"208",208,208,"C73",0.223,2,0,"EXP1",0.275066666666667,5e+05,405356.277266117
"209",209,209,"C85",0.203,2,0,"EXP1",0.1872,5e+05,542200.854700855
"210",210,210,"C89",0.221,2,0,"EXP1",0.288933333333333,5e+05,382441.162898016
"211",211,211,"REF",0.249,2,150,"EXP1",0.226266666666667,5e+05,550235.710076606
"212",212,212,"GSH1",0.229,2,150,"EXP1",0.214266666666667,5e+05,534380.833851898
"213",213,213,"C6",0.236,2,150,"EXP1",0.2094,5e+05,563514.804202483
"214",214,214,"C7",0.219,2,150,"EXP1",0.209333333333333,5e+05,523089.171974522
"215",215,215,"C44",0.214,2,150,"EXP1",0.208466666666667,5e+05,513271.506236009
